scorer,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000
bodyparts,Snout,Snout,Snout,LFL,LFL,LFL,RFL,RFL,RFL,LHL,LHL,LHL,RHL,RHL,RHL,Tailtip,Tailtip,Tailtip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
92,118.526794,205.5050745,1,28.14039993,211.6477223,0.085161284,45.79398227,214.3046341,1,21.36049104,213.5950136,1,19.29083014,211.8797045,0.001558205,-1.888719559,204.093704,0.000967791
93,121.1885958,203.8496785,1,36.78333366,211.6028329,0.01807153,46.48670554,214.0789194,1,22.12503028,213.860836,1,18.2456708,211.8888693,0.002378247,-1.690384865,203.7674267,0.001379288
94,121.1885958,203.8496785,1,36.78333366,211.6028329,0.01807153,46.48670554,214.0789194,1,22.12503028,213.860836,1,18.2456708,211.8888693,0.002378247,-1.690384865,203.7674267,0.001379288
95,123.9811893,203.1892014,1,38.59012699,211.0727814,0.037695352,47.93990064,214.1854324,1,23.41352105,213.5774984,1,18.55033493,212.1993127,0.002143198,-1.187774658,203.7478277,0.001914559
96,123.9830375,203.1880503,1,38.57673025,211.0665216,0.036566537,47.91968894,214.169632,1,23.40748167,213.5712633,1,18.52309465,212.1944456,0.002101888,-1.185380459,203.7475925,0.00190416
97,126.7569509,201.6554265,1,48.16987371,210.2077217,0.009835859,49.24812222,214.3394566,1,24.29608727,214.0224438,1,16.7877202,211.8258964,0.064047627,-1.204154491,203.1096876,0.001394219
98,126.8010814,201.6446023,1,48.1253562,210.5154419,0.012018834,49.2102356,214.4654551,1,24.32951689,214.0013132,1,16.67531013,211.7739286,0.078871638,-1.177983761,203.1219921,0.00146281
99,130.3606925,200.7031994,1,114.7003068,207.7501783,0.929726183,49.98896265,214.1430817,1,24.70732498,213.5073109,1,15.56459761,210.7178196,0.568863571,-0.911134243,202.6856965,0.001464066
100,130.3655686,200.7020383,1,114.7025431,207.7467093,0.929472446,49.99805069,214.1366205,1,24.70791531,213.5053043,1,15.56186748,210.7138635,0.565760314,-0.912803173,202.6863524,0.001463663
101,133.4615858,200.2791481,1,113.5732629,207.9584413,0.360634476,49.09057903,213.6071415,1,20.29984614,213.3190184,1,4.526553154,204.2989712,0.999051988,730.6286989,205.7985467,0.001174003
